,nfe,hypervolume
0,100049,0.3925417324573249
1,1002,0.0013642533873450759
2,10172,0.31625947761576
3,11180,0.31968206637763924
4,12188,0.3253247168279606
5,13196,0.3288654401564055
6,14204,0.3343154312457218
7,15212,0.33861295055602014
8,16220,0.3412153601817135
9,17228,0.34496440450968247
10,19529,0.34751500205426145
11,2,0.0011219480981288048
12,2008,0.012494591587730584
13,22213,0.3494402691040772
14,24897,0.34998568958190773
15,27581,0.35374355256372647
16,3008,0.04242540021881211
17,30265,0.3570105130304279
18,32949,0.35993909053091144
19,35633,0.3619385227469318
20,38317,0.3646954585401287
21,41001,0.3675245619029061
22,4124,0.1742975472835276
23,43685,0.36866238840168214
24,46369,0.3698818239811652
25,49053,0.3714854641455865
26,5132,0.28169522465983793
27,51737,0.37448085143875104
28,54421,0.3757392563941429
29,57105,0.3779710065814224
30,59789,0.3788279257298596
31,6140,0.29905464540467686
32,62473,0.3791162063750314
33,65157,0.38029011064194973
34,67841,0.38145411972606313
35,70525,0.3835858573930537
36,7148,0.30356688505007207
37,73209,0.38370483715534026
38,75893,0.3851272971180958
39,78577,0.3859415256509286
40,81261,0.38669242446672547
41,8156,0.308071678037138
42,83945,0.387616343176849
43,86629,0.3892397495539234
44,89313,0.3899927058017966
45,9164,0.3110824818374895
46,91997,0.39082350373998087
47,94681,0.3914987957105857
48,97365,0.39222686703662046
